Fighting_Spirit_1.3.scx Kata2-Offense Zerg 1 0 Kata2-Defense Unknown Terran 11565
Lost_Temple_2.4_iCCup.scx Kata2-Offense Protoss 0 1 Kata2-Defense Unknown Terran 28802
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 16274
Lost_Temple_2.4_iCCup.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 14619
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Protoss 12345
Lost_Temple_2.4_iCCup.scx Kata2-Offense Protoss 0 1 Kata2-Defense Unknown Zerg 11859
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Protoss 12779
Lost_Temple_2.4_iCCup.scx Kata2-Offense Zerg 1 0 Kata2-Defense Unknown Protoss 10976
Fighting_Spirit_1.3.scx Kata2-Offense Protoss 1 0 Kata2-Defense Unknown Zerg 8031
Lost_Temple_2.4_iCCup.scx Kata2-Offense Protoss 1 0 Kata2-Defense Unknown Zerg 11348
Fighting_Spirit_1.3.scx Kata2-Offense Protoss 1 0 Kata2-Defense Unknown Terran 12495
Lost_Temple_2.4_iCCup.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 13759
Fighting_Spirit_1.3.scx Kata2-Offense Protoss 0 1 Kata2-Defense Unknown Zerg 12589
Lost_Temple_2.4_iCCup.scx Kata2-Offense Terran 1 0 Kata2-Defense Unknown Protoss 13580
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 12044
Lost_Temple_2.4_iCCup.scx Kata2-Offense Zerg 1 0 Kata2-Defense Unknown Protoss 25081
Fighting_Spirit_1.3.scx Kata2-Offense Protoss 1 0 Kata2-Defense Unknown Zerg 9984
Fighting_Spirit_1.3.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Protoss 14886
Lost_Temple_2.4_iCCup.scx Kata2-Offense Zerg 1 0 Kata2-Defense Unknown Protoss 16525
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 11634
Lost_Temple_2.4_iCCup.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Terran 13743
Fighting_Spirit_1.3.scx Kata2-Offense Protoss 1 0 Kata2-Defense Unknown Zerg 11348
Lost_Temple_2.4_iCCup.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 13337
Fighting_Spirit_1.3.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Terran 10393
Lost_Temple_2.4_iCCup.scx Kata2-Offense Protoss 0 1 Kata2-Defense Unknown Zerg 10923
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 11046
Lost_Temple_2.4_iCCup.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Terran 13258
Fighting_Spirit_1.3.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Terran 10207
Lost_Temple_2.4_iCCup.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Protoss 11833
Fighting_Spirit_1.3.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Protoss 28802
Lost_Temple_2.4_iCCup.scx Kata2-Offense Terran 1 0 Kata2-Defense Unknown Unknown 219
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Protoss 9947
Lost_Temple_2.4_iCCup.scx Kata2-Offense Zerg 0 1 Kata2-Defense Unknown Unknown 954
Fighting_Spirit_1.3.scx Kata2-Offense Protoss 0 1 Kata2-Defense Unknown Terran 14174
Lost_Temple_2.4_iCCup.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Terran 10238
Fighting_Spirit_1.3.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Protoss 14337
Lost_Temple_2.4_iCCup.scx Kata2-Offense Terran 0 1 Kata2-Defense Unknown Zerg 15542
Fighting_Spirit_1.3.scx Kata2-Offense Protoss 1 0 Kata2-Defense Unknown Zerg 11782
