1501338442880,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0
1501337313780,1,1,10,2,1,0,0,0,0,0,0,0,0,0,9,2,0,0
1501339723530,1,0,0,0,0,0,0,0,0,0,10,2,8,3,0,0,0,0
1501337935533,1,7,12,2,2,0,0,0,0,0,0,0,0,0,5,6,0,0
1501338772084,0,0,0,0,0,0,0,0,0,2,5,1,6,7,0,0,0,0
1501337660706,1,0,0,0,0,0,0,0,0,0,7,4,5,10,0,0,0,0
1501338262440,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,10,7
1501335411453,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,11,5
1501336639336,1,0,0,0,0,0,0,0,0,5,4,1,0,0,11,5,0,0
1501337041583,1,0,0,0,0,0,0,0,0,7,3,2,0,0,11,3,0,0
1501339049511,0,0,0,0,0,6,3,0,1,0,0,0,1,7,0,0,0,0
1501339445901,1,0,0,0,0,0,0,0,0,8,6,1,0,0,4,9,0,0
1501336109305,1,0,0,0,0,3,10,2,0,0,0,0,0,0,0,0,0,0
1501340101746,0,4,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0
